,Unnamed: 0,Unnamed: 0.1,date,text
399,609,53401,2018-11-21 23:07:20,She is briefly joined by a friend before returning to the Great Krabby Tidepool in the Sky  
400,611,53403,2018-11-21 23:07:14,HIS FACE!!!!!!! 
401,613,53405,2018-11-21 23:07:12,"This is, by a wide margin, the freshest Kanto's ever been. The tedium-reducing QoL changes and new Pokmon distribution make it so much more enjoyable to play through. "
402,615,53407,2018-11-21 23:07:05,"Excited to see the protags of Let\'s Go don\'t replace the originals!...who you calling ""newbie,"" Blue?"
403,616,53408,2018-11-21 23:06:59,my character: me with gum at schoolpikas: everyone else 
404,617,53409,2018-11-21 23:06:48,He pulls his cheeks!
406,619,53411,2018-11-21 23:06:46,YEEE YEAAAAAA!! 
407,621,53413,2018-11-21 23:06:44,I stretched it as long as I couldGod I just want to find more things to do in this amazing game 
409,623,53415,2018-11-21 23:06:28,Yayyyy! I'm so happy! 
410,625,53417,2018-11-21 23:06:14,"You can check the map at the PC. Expectation fulfilled, lol "
411,626,53418,2018-11-21 23:06:13,This Diglett hat is my new favourite thing :D 
412,627,53419,2018-11-21 23:06:11,"I'm not crying, you are crying "
413,628,53420,2018-11-21 23:06:10,omg this is amazing 
415,633,53425,2018-11-21 23:05:49,Someone was concerned I couldn't catch Pokemon. It's a good thing I'm a tryhard asshole. 
416,634,53426,2018-11-21 23:05:48,"I do not regret spending $30,000 on her accessories, not one bit &lt;3 "
418,637,53429,2018-11-21 23:05:38,Todays shiny is a Bellsprout!!! 
419,638,53430,2018-11-21 23:05:30,You jelly?   
420,641,53433,2018-11-21 23:05:21,you can find gold bottle caps on the floor in the game corner 
421,642,53434,2018-11-21 23:05:19,Slowly back out of the room and call the police... 
422,643,53435,2018-11-21 23:05:13,So happy!!! 
424,646,53438,2018-11-21 23:05:03,Onix is biiiiig 
426,648,53440,2018-11-21 23:04:54,(I'd like to see u in here)Going for Shiny Ditto!
427,649,53441,2018-11-21 23:04:19,Me irl 
428,650,53442,2018-11-21 23:04:19,Shiny Onix! 
429,657,53449,2018-11-21 23:03:35,My Pikachu has been possesed by a smug anime girl 
430,658,53450,2018-11-21 23:03:29,OMG ADORABLE!!!! 
431,659,53451,2018-11-21 23:03:25,It's lame that some of the content in this game requires you to play 
432,663,53455,2018-11-21 23:03:15,High five! (4) 
433,666,53458,2018-11-21 23:03:11,Pebble gallery! 
434,668,53460,2018-11-21 23:03:04,"Same old, same old, but there's no PC... "
436,670,53462,2018-11-21 23:03:03,LF these 
437,671,53463,2018-11-21 23:03:00,does anybody know why I am receiving this message ? It connected perfectly 2 days ago... And It works in other mobile phones. 
438,673,53465,2018-11-21 23:02:56,LIVE with some Come hangout! 
439,674,53466,2018-11-21 23:02:50,Wakanda forever ! 
440,676,53468,2018-11-21 23:02:42,"I'm now continuing on with Eevee! If you guys have Let's go Pikachu, I have Pokmon that are Eevee exclusive which I'll give to you."
441,677,53469,2018-11-21 23:02:42,You can do it 
